state_fips,DP02_0064E,DP02_0061E,DP02_0065E,DP02_0062E,DP02_0063E,DP02_0060E,DP02_0059E,DP05_0077E,DP05_0078E,DP05_0080E,DP05_0071E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,population estimate,state_abbr
28,259993.0,594140.0,157325.0,441829.0,177536.0,215393.0,109885.0,1702268.0,1118458.0,28725.0,88261.0,118221.0,80732.0,145888.0,127025.0,155939.0,188569.0,119688.0,107425.0,33082.0,26945.0,2986220.0,MS
30,145089.0,206323.0,71219.0,170126.0,61718.0,34918.0,14526.0,891990.0,4080.0,7262.0,36626.0,28634.0,23152.0,47217.0,46931.0,60778.0,80446.0,50409.0,50868.0,15964.0,15576.0,1029862.0,MT
15,209097.0,273162.0,106253.0,210452.0,102896.0,45113.0,37347.0,316047.0,23977.0,526199.0,145381.0,25053.0,14853.0,29853.0,31193.0,48224.0,78823.0,64468.0,85785.0,39123.0,38127.0,1421658.0,HI
05,280677.0,681486.0,156751.0,448518.0,132221.0,182659.0,103458.0,2174326.0,457251.0,41896.0,213246.0,97226.0,78535.0,149645.0,138169.0,173380.0,207454.0,120034.0,113532.0,35900.0,33416.0,2977944.0,AR
44,144515.0,203355.0,95881.0,132266.0,60883.0,52194.0,40167.0,773388.0,57860.0,35027.0,153910.0,30050.0,21983.0,38490.0,35651.0,47817.0,67672.0,53331.0,64832.0,27434.0,24768.0,1056138.0,RI
54,155423.0,524710.0,101998.0,239718.0,89742.0,121235.0,60839.0,1694887.0,64414.0,13858.0,27021.0,68709.0,47396.0,98901.0,85131.0,108061.0,132714.0,80683.0,75153.0,22810.0,18113.0,1836843.0,WV
10,117478.0,203135.0,84291.0,125964.0,51028.0,46228.0,23416.0,594911.0,201411.0,36094.0,84793.0,21106.0,12725.0,28737.0,32426.0,45507.0,64740.0,48383.0,53686.0,23845.0,21202.0,943732.0,DE
16,194303.0,292202.0,90838.0,282995.0,101080.0,64779.0,39116.0,1368118.0,10658.0,21937.0,201978.0,41430.0,30262.0,64685.0,68175.0,93091.0,122368.0,75052.0,72298.0,22493.0,19270.0,1657375.0,ID
41,561492.0,655921.0,341435.0,723165.0,242247.0,166982.0,106711.0,3079995.0,72636.0,164546.0,509507.0,102064.0,74815.0,156932.0,157131.0,212471.0,291503.0,202965.0,216858.0,78994.0,77898.0,4025127.0,OR
56,67798.0,111594.0,36156.0,102720.0,42219.0,20964.0,7166.0,491626.0,5791.0,4915.0,56681.0,11498.0,9605.0,21785.0,21695.0,30505.0,43455.0,32555.0,38947.0,11447.0,8745.0,583200.0,WY
38,102497.0,131653.0,37773.0,110330.0,65775.0,21535.0,15927.0,638773.0,17014.0,10047.0,24744.0,18381.0,13583.0,27190.0,28707.0,40668.0,56924.0,43906.0,49043.0,16797.0,16326.0,745475.0,ND
50,95590.0,129511.0,65552.0,76013.0,37351.0,22651.0,11232.0,582404.0,7534.0,9638.0,11183.0,13477.0,14002.0,25810.0,24931.0,33798.0,49311.0,36006.0,37035.0,12517.0,11648.0,624636.0,VT
33,209224.0,262891.0,129334.0,176656.0,94088.0,46172.0,21106.0,1211110.0,16167.0,33048.0,45266.0,20769.0,18322.0,40350.0,42221.0,60684.0,94712.0,74488.0,94617.0,41924.0,38623.0,1331848.0,NH
11,113830.0,84119.0,156593.0,62203.0,14601.0,27608.0,18889.0,241901.0,315159.0,25063.0,71829.0,26654.0,12425.0,19346.0,17893.0,22915.0,36395.0,29781.0,44399.0,25494.0,42683.0,672391.0,DC
